,major, class
441,Agricultural Biochemistry- B.S. - option 2,BBMB 461
442,Agricultural Biochemistry- B.S. - option 2,BBMB 561L7
443,Agricultural Biochemistry- B.S. - option 2,MATH 317
444,Agricultural Biochemistry- B.S. - option 2,BBMB 4111
445,Agricultural Biochemistry- B.S. - option 2,BBMB 4995
446,Agricultural Business- B.S.,ENGL 150
447,Agricultural Business- B.S.,ENGL 250
448,Agricultural Business- B.S.,ENGL 302
449,Agricultural Business- B.S.,ENGL 309
450,Agricultural Business- B.S.,ENGL 314
451,Agricultural Business- B.S.,SP CM 212
452,Agricultural Business- B.S.,AGEDS 311
453,Agricultural Business- B.S.,LIB 160
454,Agricultural Business- B.S.,ECON 102
455,Agricultural Business- B.S.,BIOL 101
456,Agricultural Business- B.S.,BIOL 211
457,Agricultural Business- B.S.,MATH 160
458,Agricultural Business- B.S.,MATH 165
459,Agricultural Business- B.S.,ECON 207
460,Agricultural Business- B.S.,MATH 166
461,Agricultural Business- B.S.,STAT 226
462,Agricultural Business- B.S.,STAT 326
463,Agricultural Business- B.S.,PHYS 111
464,Agricultural Business- B.S.,ECON 101
465,Agricultural Business- B.S.,ECON 301
466,Agricultural Business- B.S.,ECON 302
467,Agricultural Business- B.S.,ECON 353
468,Agricultural Business- B.S.,ECON 492
469,Agricultural Business- B.S.,ACCT 284
470,Agricultural Business- B.S.,FIN 301
471,Agricultural Business- B.S.,ECON 110
472,Agricultural Business- B.S.,ECON 235
473,Agricultural Business- B.S.,ECON 292
474,Agricultural Business- B.S.,MATH 165
475,Agricultural Business- B.S.,MATH 165
476,Agricultural Business- B.S.,MATH 160
477,Agricultural Business- B.S.,STAT 226
478,Agricultural Business- B.S.,STAT 341
479,Agricultural Business- B.S.,ECON 101
480,Agricultural Business- B.S.,ECON 102
481,Agricultural Business- B.S.,ECON 301
482,Agricultural Business- B.S.,ECON 302
483,Agricultural Business- B.S.,ECON 371
484,Agricultural Business- B.S.,ECON 492
485,Agricultural Business- B.S.,ENGL 150
486,Agricultural Business- B.S.,ENGL 250
487,Agricultural Business- B.S.,ENGL 302
488,Agricultural Business- B.S.,ECON 101
489,Agricultural Business- B.S.,ECON 102
490,Agricultural Business- B.S.,MATH 165
491,Agricultural Business- B.S.,MATH 165
492,Agricultural Business- B.S.,MATH 160
493,Agricultural Business- B.S.,ECON 301
494,Agricultural Business- B.S.,ECON 101
495,Agricultural Business- B.S.,ECON 230
496,Agricultural Business- B.S.,ECON 235
497,Agricultural Business- B.S.,ECON 301
498,Agricultural Business- B.S.,ECON 101
499,Agricultural Business- B.S.,ECON 102
500,Agricultural Business- B.S.,ECON 301
501,Agricultural Business- B.S.,ECON 101
502,Agricultural Business- B.S.,ECON 102
503,Agricultural Business- B.S.,ENGL 150
504,Agricultural Business- B.S.,ECON 207A
505,Agricultural Business- B.S.,LIB 160
506,Agricultural Business- B.S.,MATH 160A
507,Agricultural Business- B.S.,ECON 301
508,Agricultural Business- B.S.,ECON 302
509,Agricultural Business- B.S.,ENGL 250
510,Agricultural Business- B.S.,STAT 326B
511,Agricultural Business- B.S.,STAT 226B
512,Agricultural Business- B.S.,ECON 371
513,Agricultural Business- B.S.,ECON 400-489
514,Agricultural Business- B.S.,ECON 400-489
515,Agricultural Business- B.S.,ECON 400-489
516,Agricultural Business- B.S.,ECON 492
517,Agricultural Studies- B.S.,ENGL 150
518,Agricultural Studies- B.S.,ENGL 250
519,Agricultural Studies- B.S.,AGEDS 311
520,Agricultural Studies- B.S.,AGEDS 327
521,Agricultural Studies- B.S.,LIB 160
522,Agricultural Studies- B.S.,ECON 101
523,Agricultural Studies- B.S.,BIOL 101
524,Agricultural Studies- B.S.,CHEM 163
525,Agricultural Studies- B.S.,MATH 104
526,Agricultural Studies- B.S.,STAT 104
527,Agricultural Studies- B.S.,AGEDS 110B
528,Agricultural Studies- B.S.,AGEDS 215
529,Agricultural Studies- B.S.,AGEDS 315
530,Agricultural Studies- B.S.,AGEDS 450
531,Agricultural Studies- B.S.,AGEDS 451
532,Agricultural Studies- B.S.,AGRON 181
533,Agricultural Studies- B.S.,AGRON 182
534,Agricultural Studies- B.S.,AGRON 280
535,Agricultural Studies- B.S.,AN S 101
536,Agricultural Studies- B.S.,AN S 114
537,Agricultural Studies- B.S.,ECON 230
538,Agricultural Studies- B.S.,ECON 235
539,Agricultural Studies- B.S.,NREM 120
540,Agricultural Studies- B.S.,AGEDS 110B
541,Agricultural Studies- B.S.,AN S 114
542,Agricultural Studies- B.S.,ECON 101
543,Agricultural Studies- B.S.,AGRON 182
544,Agricultural Studies- B.S.,AN S 101
545,Agricultural Studies- B.S.,NREM 120/130
546,Agricultural Studies- B.S.,STAT 104
547,Agricultural Studies- B.S.,ENGL 150
548,Agricultural Studies- B.S.,ENGL 250
549,Agricultural Studies- B.S.,LIB 160
550,Agricultural Studies- B.S.,AGRON 181
551,Agricultural Studies- B.S.,AGEDS 215
552,Agricultural Studies- B.S.,ACCT 284
553,Agricultural Studies- B.S.,BIOL 101
554,Agricultural Studies- B.S.,AGRON 280
555,Agricultural Studies- B.S.,ECON 235
556,Agricultural Studies- B.S.,AGEDS 315
557,Agricultural Studies- B.S.,ECON 230
558,Agricultural Studies- B.S.,AGEDS 450
559,Agricultural Studies- B.S.,AGEDS 451
560,Agricultural Studies- B.S.,ECON 334
561,Agricultural Studies- B.S.,AGEDS 327
562,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 110
563,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 111
564,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 116
565,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 115
566,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,CHEM 163
567,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ECON 101
568,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 150
569,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,PHYS 111
570,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,LIB 160
571,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,MATH 145
572,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 201
573,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 322
574,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 210
575,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 214
576,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 270
577,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ECON 230
578,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ACCT 284
579,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,STAT 104
580,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 250
581,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 325
582,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 310
583,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 397
584,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 327
585,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 324
586,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 363
587,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 330
588,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 370 
589,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 399
590,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 416
591,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 433
592,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 415
593,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 110
594,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 111
595,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 116
596,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 115
597,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,CHEM 163
598,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,MATH 151
599,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 150
600,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,LIB 160
601,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,MATH 145
602,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 201
603,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 214
604,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 210
605,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 216
606,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 270
607,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ACCT 284
608,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 240
609,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ECON 101
610,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 250
611,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,STAT 104
612,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 335
613,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 310
614,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 397
615,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 363
616,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 330
617,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 433
618,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 337
619,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 399
620,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 370 
621,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 415
622,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 416
623,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 110
624,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 111
625,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 116
626,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 115
627,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 150
628,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,MATH 151
629,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,LIB 160
630,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,PHYS 111
631,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,MATH 145
632,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ECON 101
633,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,CHEM 163
634,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 201
635,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 216
636,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 210
637,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 214
638,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,STAT 104
639,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 240
640,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 270
641,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,ENGL 250
642,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 340
643,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 310
644,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 397
645,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 363
646,Agricultural Systems Technology- B.S. - Agricultural and biosystems management option,TSM 337
